city_jjk,countryname,longitude,latitude
BADISCHL,Austria,13.6210153,47.7123709
BRAUNAU,Austria,13.04432011,48.25572968
DORNBIRN,Austria,9.74379,47.4124
EISENSTADT,Austria,16.52796,47.84637
GMUNDEN,Austria,13.79933,47.91839
GRAZ,Austria,15.439504,47.070714
INNSBRUCK,Austria,11.4041024,47.2692124
KLAGENFURT,Austria,14.30899,46.62794
KREMS,Austria,15.60384,48.40999
LINZ,Austria,14.28583,48.30694
MATTERSBURG,Austria,16.39663,47.73625
NEUBERG,Austria,16.25964928,47.16896439
NEUNKIRCHEN,Austria,16.08121,47.72607
SALZBURG,Austria,13.05501,47.80949
SCHWAZ,Austria,11.70584,47.3502
STEYR,Austria,14.41827,48.05009
WELS,Austria,14.03664,48.16542
WIEN,Austria,16.3738189,48.2081743
WIENERNEUSTADT,Austria,16.23318,47.80279
AALST,Belgium,4.0409517,50.9378101
AARSCHOT,Belgium,4.8365218,50.9859959
ANTWERPEN,Belgium,4.4024643,51.2194475
ARDOOIE,Belgium,3.1991212,50.9767648
ARLON,Belgium,5.8104804,49.6851364
ATH,Belgium,3.776992,50.6304302
BEVEREN,Belgium,4.2581649,51.2132494
BINCHE,Belgium,4.1659,50.41218
BOUILLON,Belgium,5.0819,49.7956
BRUGGE,Belgium,3.2246995,51.209348
BRUXELLES,Belgium,4.3517103,50.8503396
CHARLEROI,Belgium,4.444643,50.4108095
DEINZE,Belgium,3.5235857,50.9875406
DENDERMONDE,Belgium,4.1019516,51.025477
DIEST,Belgium,5.05016,50.98965
DINANT,Belgium,4.9127457,50.260494
DOUR,Belgium,3.7827918,50.4000126
EEKLOO,Belgium,3.5638899,51.1852719
ENGHIEN,Belgium,2.3034849,48.9708759
EUPEN,Belgium,6.0337111,50.6292029
EVERGEM,Belgium,3.7067221,51.1099708
GEERAARDSBERGEN,Belgium,3.8751639,50.7707354
GENT,Belgium,3.7174243,51.0543422
HALLE,Belgium,4.23251,50.73757
HAMME,Belgium,4.1402689,51.090201
HASSELT,Belgium,5.33248,50.93069
HUY,Belgium,5.2396656,50.5187153
IEPER,Belgium,2.8779388,50.8492265
IZEGEM,Belgium,3.2132192,50.9180785
JUMET,Belgium,4.4370311,50.4427249
KORTRIJK,Belgium,3.2577263,50.8194776
KRUISHOUTEM,Belgium,3.5281414,50.904499
LEUVEN,Belgium,4.704328,50.877571
LIEGE,Belgium,5.5796662,50.6325574
LIER,Belgium,4.5715092,51.1302138
LOKEREN,Belgium,3.9940663,51.1023413
MALMEDY,Belgium,6.0283276,50.4246396
MECHELEN,Belgium,4.4775362,51.0258761
MENEN,Belgium,3.121342,50.7962915
MEULEBEKE,Belgium,3.28637,50.9506
MONS,Belgium,3.956659,50.4542408
NAMUR,Belgium,4.8719854,50.4673883
NIEUWPOORT,Belgium,2.7480158,51.1284823
NIVELLES,Belgium,4.32851,50.59787
OOSTENDE,Belgium,2.9,51.2166667
OUDENAARDE,Belgium,3.6013676,50.8469547
PERUWELZ,Belgium,3.5936738,50.5105818
POPERINGE,Belgium,2.7267929,50.8549596
ROESELARE,Belgium,3.1294471,50.9499087
RONSE,Belgium,3.6005095,50.7505367
RUISELEDE,Belgium,3.3970513,51.0413098
SOIGNIES,Belgium,4.0706869,50.5764245
SPA,Belgium,5.86432,50.49243
ST-NIKLAAS,Belgium,4.154441,51.1558839
ST-TRUIDEN,Belgium,5.1862508,50.8157248
TEMSE,Belgium,4.21275,51.12955
THUIN,Belgium,4.2873285,50.3407615
TIELT,Belgium,4.9046956,50.940892
TIENEN,Belgium,4.93622,50.81057
TONGEREN,Belgium,5.47449,50.78419
TORHOUT,Belgium,3.10157,51.06498
TOURNAI,Belgium,3.3879338,50.6056475
TURNHOUT,Belgium,4.9375577,51.3216509
VERVIERS,Belgium,5.8655951,50.5910564
VEURNE,Belgium,2.6680341,51.073159
WAREGEM,Belgium,3.4231675,50.8868949
WAVRE,Belgium,4.6128075,50.7158956
