city_jjk,print_date,pop1500,pop1600,pop1700,pop1800,rivers_10,DAnyRomRoad,Bcapital,Bcommune,university
AACHEN,NA,18,23,15,24,0,0.24595223367214203,0,1,0
AALBORG,NA,NA,6,4,6,0,620.6881103515625,0,0,0
AALST,1472,5,7,8,11,1,2.5109598636627197,0,0,0
AARHUS,NA,NA,5,3,4,0,542.60113525390625,0,0,0
ABBEVILLE,1486,NA,NA,15,18,0,12.083911895751953,0,1,0
ABERDEEN,NA,3,6,12,27,0,103.52072143554688,0,0,0
ABRANTES,NA,3,4,4,5,1,2.25430965423584,0,0,0
ACIREALE,NA,NA,8,12,15,0,0.02325955219566822,0,0,0
ACQUAVIVA,NA,3,6,7,6,0,4.22750186920166,0,0,0
ADERNO,NA,NA,6,5,7,0,0.08425626158714294,0,0,0
AGEN,NA,6,8,10,10,1,0.808300793170929,0,1,0
AGREDA,NA,NA,5,3,3,0,1.193873405456543,0,0,0
AGRIGENTO,NA,10,11,11,14,0,0.03812277317047119,0,0,0
AIDONE,NA,NA,7,6,4,0,13.329415321350098,0,0,0
AIRE,NA,5,5,6,6,0,0.18461261689662933,0,0,0
AIX,NA,13,18,27,21,0,0.19866925477981567,0,0,0
ALAEJOS,NA,NA,5,4,3,0,28.119810104370117,0,0,0
ALBA,NA,NA,4,4,4,0,3.573610305786133,0,0,0
ALBACETE,NA,NA,6,5,6,0,3.7576041221618652,0,0,0
ALBI,1470,8,7,10,10,1,11.842588424682617,0,1,0
ALBUQUERQUE,NA,NA,9,6,6,0,19.518033981323242,0,0,0
ALCALA-DE-HENARES,1500,8,13,3,5,0,0.5840781331062317,0,1,0
ALCALA-LA-REAL,NA,2,10,5,9,0,34.28232955932617,0,0,0
ALCAMO,NA,6,8,8,13,0,1.2234952449798584,0,0,0
ALCANIZ,NA,NA,3,3,6,0,45.3887825012207,0,0,0
ALCARAZ,NA,NA,6,2,8,0,18.776508331298828,0,0,0
ALCAZAR-DE-SAN-JUAN,NA,20,10,7,10,1,7.762917995452881,0,1,0
ALCIRA,NA,3,4,3,9,0,0.9102964401245117,0,0,0
ALCOY,NA,NA,5,4,16,0,28.480260848999023,0,0,0
ALESSANDRIA,NA,8,14,12,30,0,2.8832147121429443,0,1,0
ALFARO,NA,NA,6,4,4,1,2.6190450191497803,0,0,0
ALICANTE,NA,3,11,12,13,0,0.3319774270057678,0,1,0
ALKMAAR,NA,5,12,12,8,0,55.66039276123047,0,0,0
ALMAGRO,NA,NA,9,7,9,0,9.547924041748047,0,0,0
ALMERIA,NA,25,7,10,7,0,0.7307568788528442,0,0,0
ALMODOVAR,NA,NA,6,3,4,0,7.175830841064453,0,0,0
ALTAMURA,NA,6,12,14,18,0,5.349791049957275,0,0,0
ALTENBURG,NA,3,4,6,9,0,221.87921142578125,0,0,0
ALTONA,NA,2,6,12,23,1,312.0463562011719,0,0,0
ALTSTAETTEN,NA,1,1,3,6,1,0.14929157495498657,0,0,0
AMALFI,NA,2,NA,2,5,0,12.01064682006836,0,0,0
AMBERG,NA,4,4,4,6,0,50.7180290222168,0,0,0
AMBOISE,NA,5,6,6,5,1,5.89804220199585,0,0,0
AMERSFOORT,NA,7,7,7,9,0,18.598968505859375,0,0,0
AMIENS,NA,20,25,35,40,0,0.6493581533432007,0,1,0
AMSTERDAM,NA,15,54,200,217,0,31.694334030151367,0,0,0
ANCONA,NA,NA,10,9,17,0,0.44693902134895325,0,0,0
ANDRIA,NA,5,14,7,14,0,2.8698933124542236,0,0,0
ANDUJAR,NA,NA,14,8,10,1,0.39030805230140686,0,0,0
ANGERS,1474,13,26,29,32,1,0.7189500331878662,0,0,0
ANGOULEME,1490,5,6,8,15,0,1.8770052194595337,0,1,0
ANKLAM,NA,4,5,2,4,0,502.50567626953125,0,0,0
ANNABERG,NA,4,6,3,7,0,33.5498161315918,0,0,0
ANNECY,NA,2,4,5,5,0,0.0903250202536583,0,0,0
ANTEQUERA,NA,10,20,22,15,0,1.0072485208511353,0,0,0
ANTWERPEN,1481,37,49,67,62,1,15.256958961486816,0,1,0
APT,NA,2,4,5,5,0,0.569015383720398,0,0,0
